PL,SKU,CATEGORY,SUB_CATEGORY
DELLX2_SUP_TON,X2631B,SUP,Toner
DELL9A_PC_Laptop,9A8X6QB,PC,Laptop
HP38_PC_Desktop,385Z7PA,PC,Desktop
HPW1_SUP_TON,W1520X,SUP,Toner
DELLA8_SUP_TON,A8Z89B,SUP,Toner
DELLR6_SUP_TON,R6050B,SUP,Toner
DELL9G_PC_Desktop,9G5D0QB,PC,Desktop
HPC9_SUP_INK,C9404A,SUP,Ink
DELLDG_SUP_TON,DG324B,SUP,Toner
HP7W_PH_IJ,7WQ06B,PH,Inkjet
HP6X_PC_Desktop,6X3W3PA,PC,Desktop
HPCN_SUP_INK,CN628AA,SUP,Ink
HPT6_SUP_INK,T6M05AA,SUP,Ink
DELL8L_PC_Desktop,8L778QB,PC,Desktop
DELL4Z_SUP_INK,4ZN82BB,SUP,Ink
HPP2_SUP_INK,P2V69A,SUP,Ink
DELL95_PC_Desktop,954E3QB,PC,Desktop
DELL3F_PC_Monitor,3F3Z4B7,PC,Monitor
HP3J_SUP_INK,3JA85AA,SUP,Ink
HP4Z_PH_LJ,4ZB95A,PH,Laserjet
HP7J_PC_Desktop,7J4Y1PA,PC,Desktop
HPCD_SUP_INK,CD951A,SUP,Ink
DELLX2_PH_LJ,X2B35B,PH,Laserjet
HP6G_PH_LJ,6GX04A,PH,Laserjet
DELL4X_SUP_INK,4XY25B,SUP,Ink
HP60_PH_IJ,60K34B,PH,Inkjet
DELL4X_SUP_INK,4XY19B,SUP,Ink
DELL8L_PC_Desktop,8L6X3QB,PC,Desktop
DELLN1_SUP_INK,N1I66BB,SUP,Ink
DELL0R_PC_Laptop,0R073QB,PC,Laptop
HP80_PC_Laptop,804L1PA,PC,Laptop
DELLDD_SUP_TON,DD499Y,SUP,Toner
HP2Z_PH_LJ,2Z615A,PH,Laserjet
HP6L_PC_Laptop,6L8P0EC,PC,Laptop
DELL7O_PC_Laptop,7O141QB,PC,Laptop
DELLX3_SUP_TON,X3422B,SUP,Toner
DELLX2_SUP_TON,X2691Y,SUP,Toner
DELL4Z_SUP_INK,4ZN26BB,SUP,Ink
DELLDF_SUP_TON,DF431B,SUP,Toner
DELL4X_SUP_INK,4XY46B,SUP,Ink
HP82_PC_Laptop,821J4PA,PC,Laptop
DELLB1_PC_Laptop,B14DOQB,PC,Laptop
HPW2_SUP_TON,W2043A,SUP,Toner
DELLC4_SUP_INK,C4Q32B,SUP,Ink
DELL03_PC_Laptop,03V96QB,PC,Laptop
HP8L_PC_Laptop,8L8P4PA,PC,Laptop
DELL9G_PC_Laptop,9G7D0QB,PC,Laptop
DELL50_SUP_INK,509O6B,SUP,Ink
HP92_PC_Laptop,92U76PA,PC,Laptop
HP84_PC_Desktop,84H53PA,PC,Desktop
DELLM1_SUP_INK,M1T65BB,SUP,Ink
HP8Y_PC_Laptop,8Y989PA,PC,Laptop
HP78_PC_Desktop,78Y44PA,PC,Desktop
DELL8R_PC_Laptop,8R7A8QB,PC,Laptop
HP7W_PH_IJ,7WN44D,PH,Inkjet
HP3W_SUP_INK,3WX14A,SUP,Ink
HPM0_SUP_INK,M0H55AA,SUP,Ink
HP7P_PC_Desktop,7P2C5PA,PC,Desktop
HP3Y_SUP_INK,3YM77AA,SUP,Ink
DELLDI_SUP_INK,DI759B,SUP,Ink
HPCB_SUP_TON,CB541A,SUP,Toner
HP8Z_PC_Laptop,8Z7W5PA,PC,Laptop
HPCF_SUP_TON,CF362A,SUP,Toner
HP71_PH_LJ,715A3A,PH,Laserjet
HP3Y_SUP_INK,3YM72AA,SUP,Ink
HP8L_PC_Laptop,8L120PA,PC,Laptop
HPCZ_PH_LJ,CZ186A,PH,Laserjet
HP51_SUP_INK,51645AA,SUP,Ink
HPP2_SUP_INK,P2V63A,SUP,Ink
HP8X_PC_Laptop,8X1T8PA,PC,Laptop
HPB3_SUP_INK,B3P20A,SUP,Ink
HP7Y_PC_Laptop,7Y6U9PA,PC,Laptop
HP3E_SUP_INK,3ED69A,SUP,Ink
DELL9G_PC_Laptop,9G7K9QB,PC,Laptop
DELLDO_SUP_INK,DO737BB,SUP,Ink
HPCF_SUP_TON,CF500A,SUP,Toner
HP9T_PC_Desktop,9T8L0PA,PC,Desktop
HPCC_SUP_INK,CC643ZZ,SUP,Ink
DELL9D_PC_Laptop,9D5S9QB,PC,Laptop
DELL9G_PC_Laptop,9G9A2QB,PC,Laptop
HP6X_PC_Desktop,6X3Q4PA,PC,Desktop
HP3E_SUP_INK,3ED29A,SUP,Ink
DELLDG_SUP_TON,DG491B,SUP,Toner
DELL64_PH_LJ,64Q52B,PH,Laserjet
HPC2_SUP_INK,C2P04AA,SUP,Ink
DELLD0_SUP_INK,D0483B,SUP,Ink
HP8C_PC_Laptop,8C4R7PA,PC,Laptop
HP40_PH_IJ,404L7C,PH,Inkjet
DELL89_PC_Desktop,893O2QB,PC,Desktop
HPA4_PC_Laptop,A45Y7PA,PC,Laptop
HPF9_SUP_INK,F9K04A,SUP,Ink
DELL6I_PH_LJ,6II78B,PH,Laserjet
HPCH_SUP_INK,CH564ZZ,SUP,Ink
DELL95_PC_Laptop,952X8QB,PC,Laptop
DELLQ3_SUP_INK,Q3W36B,SUP,Ink
DELL8K_PC_Desktop,8K3N4QB,PC,Desktop
HPCN_SUP_INK,CN627AA,SUP,Ink
HP1V_SUP_INK,1VV21AA,SUP,Ink
HPCF_SUP_TON,CF257A,SUP,Toner
DELLDG_SUP_TON,DG621B,SUP,Toner
DELLDO_SUP_INK,DO157BB,SUP,Ink
DELLDF_SUP_TON,DF396B,SUP,Toner
HP8L_PC_Laptop,8L160PA,PC,Laptop
DELLX2_SUP_TON,X2571Y,SUP,Toner
DELL7Y_PC_Desktop,7Y0T1QB,PC,Desktop
DELL0E_PC_Laptop,0E4Q2QB,PC,Laptop
DELLDG_SUP_TON,DG475B,SUP,Toner
HP3Y_SUP_INK,3YM20AA,SUP,Ink
HPCE_SUP_TON,CE516A,SUP,Toner
HPW1_SUP_TON,W1470A,SUP,Toner
HP6G_PC_Desktop,6G675PA,PC,Desktop
HPC2_SUP_INK,C2P20AA,SUP,Ink
DELLR3_SUP_TON,R3723BG,SUP,Toner
DELL0Z_PC_Laptop,0Z1Z7QB,PC,Laptop
HPCC_SUP_TON,CC388A,SUP,Toner
HPCF_SUP_TON,CF412A,SUP,Toner
HP6X_PC_Desktop,6X4B9PA,PC,Desktop
HPCF_SUP_TON,CF287A,SUP,Toner
HP54_PH_IJ,54R58B,PH,Inkjet
HPCF_SUP_TON,CF211A,SUP,Toner
DELL0F_PC_Laptop,0F4L5QB,PC,Laptop
DELLB1_PC_Laptop,B14DLQB,PC,Laptop
DELL9G_PC_Laptop,9G5A6QB,PC,Laptop
DELL7Y_PC_Desktop,7Y4X5QB,PC,Desktop
DELL3A_PH_LJ,3A726B,PH,Laserjet
HP3Y_SUP_INK,3YM22AA,SUP,Ink
DELL4Z_SUP_INK,4ZN32BB,SUP,Ink
HPF9_SUP_INK,F9J67A,SUP,Ink
HP8F_PC_Laptop,8F6J8PA,PC,Laptop
HP3E_SUP_INK,3ED50A,SUP,Ink
DELLQ3_SUP_INK,Q3W74B,SUP,Ink
HP8H_PC_Laptop,8H9G6PA,PC,Laptop
DELLX4_PH_IJ,X4A83B,PH,Inkjet
HP3Y_SUP_INK,3YM71AA,SUP,Ink
HPW2_SUP_TON,W2310A,SUP,Toner
HP38_PH_LJ,381V6A,PH,Laserjet
HP78_PC_Desktop,780A5PA,PC,Desktop
HPCF_SUP_TON,CF403X,SUP,Toner
DELLB1_PC_Laptop,B11QNQB,PC,Laptop
HP50_PC_Laptop,50M63PA,PC,Laptop
HP9Q_PC_Desktop,9Q932PA,PC,Desktop
HP5H_PH_IJ,5HB08A,PH,Inkjet
DELL78_SUP_INK,787N7B,SUP,Ink
DELL0X_PC_Laptop,0X7V9QB,PC,Laptop
DELLDG_SUP_TON,DG342B,SUP,Toner
HPCD_SUP_INK,CD973AA,SUP,Ink
HPA0_PC_Laptop,A03CHPA,PC,Laptop
DELL76_PC_Monitor,76Q68B7,PC,Monitor
HPCE_SUP_TON,CE741A,SUP,Toner
HP5R_PC_Monitor,5RD66AA,PC,Monitor
DELLDG_SUP_TON,DG613B,SUP,Toner
DELLX2_SUP_TON,X2581B,SUP,Toner
HP81_PC_Laptop,81M38AA,PC,Laptop
HPW2_SUP_TON,W2041A,SUP,Toner
DELL92_PC_Laptop,92C20QB,PC,Laptop
HPCZ_SUP_INK,CZ637AA,SUP,Ink
HP8C_PC_Laptop,8C527PA,PC,Laptop
HP4K_PC_Laptop,4K5D5PA,PC,Laptop
DELL8H_PC_Laptop,8H7I2QB,PC,Laptop
DELL7A_SUP_INK,7AE30BB,SUP,Ink
DELL4F_SUP_INK,4FE61B,SUP,Ink
DELL4F_SUP_INK,4FE62B,SUP,Ink
DELLX3_SUP_TON,X3101B,SUP,Toner
DELL3Z_PH_IJ,3Z0I1B,PH,Inkjet
HP9Y_PC_Laptop,9Y0Z1PA,PC,Laptop
DELL09_PC_Desktop,094O7QB,PC,Desktop
HP2Z_PH_LJ,2Z614A,PH,Laserjet
DELLD3_SUP_INK,D3Q34BB,SUP,Ink
DELL8K_PC_Desktop,8K5Z2QB,PC,Desktop
HP4S_SUP_INK,4S6X8PA,SUP,Ink
HPW2_SUP_TON,W2303A,SUP,Toner
HPCE_SUP_TON,CE322A,SUP,Toner
DELL4X_SUP_INK,4XY41B,SUP,Ink
DELLG0_SUP_INK,G0L12B,SUP,Ink
DELL93_PC_Laptop,935M7QB,PC,Laptop
DELLDF_SUP_TON,DF389B,SUP,Toner
DELLA8_SUP_TON,A8Z01B,SUP,Toner
DELLDO_SUP_INK,DO164BB,SUP,Ink
DELL8O_PC_Laptop,8O860QB,PC,Laptop
DELLD3_SUP_INK,D3Q37BB,SUP,Ink
HP58_PH_IJ,588L3D,PH,Inkjet
HP8L_PC_Laptop,8L164PA,PC,Laptop
DELLDO_SUP_INK,DO741B,SUP,Ink
HP6Z_SUP_INK,6ZD32AA,SUP,Ink
HPCF_SUP_TON,CF401A,SUP,Toner
HPA0_PC_Laptop,A03CNPA,PC,Laptop
DELLX3_SUP_TON,X3222B,SUP,Toner
HP6J_PC_Desktop,6J0P5PA,PC,Desktop
HP83_PC_Laptop,832Q8PA,PC,Laptop
HP2Y_PH_IJ,2Y9H0A,PH,Inkjet
DELL66_PC_Desktop,66A37QB,PC,Desktop
HP78_PC_Desktop,780A2PA,PC,Desktop
DELL89_PC_Monitor,891K6BB,PC,Monitor
DELLDF_SUP_TON,DF626B,SUP,Toner
DELL7Y_PC_Desktop,7Y0N4QB,PC,Desktop
DELL78_SUP_INK,787N8B,SUP,Ink
HP3G_PH_LJ,3G636A,PH,Laserjet
HP54_PH_IJ,54R50B,PH,Inkjet
DELL9M_PC_Laptop,9M250QB,PC,Laptop
HP3W_SUP_INK,3WX20A,SUP,Ink
HPP2_SUP_INK,P2V68A,SUP,Ink
DELLDG_SUP_TON,DG464B,SUP,Toner
HPZ7_SUP_TON,Z7Y69A,SUP,Toner
HPC9_SUP_INK,C9458A,SUP,Ink
DELLDO_SUP_INK,DO747B,SUP,Ink
DELL0Z_PC_Laptop,0Z1A2QB,PC,Laptop
DELL75_PC_Monitor,75W92BB,PC,Monitor
DELL8L_PC_Laptop,8L1M0QB,PC,Laptop
DELLN1_SUP_INK,N1I67BB,SUP,Ink
HP2Y_PH_IJ,2Y9H2A,PH,Inkjet
DELLDO_SUP_INK,DO156BB,SUP,Ink
HPW1_PH_LJ,W1A24A,PH,Laserjet
DELLB2_PC_Laptop,B2OX4QB,PC,Laptop
DELLN1_SUP_INK,N1I61BB,SUP,Ink
HP55_PC_Desktop,55Z26PA,PC,Desktop
DELL0F_PC_Laptop,0F4K5QB,PC,Laptop
DELL98_PC_Desktop,98H12QB,PC,Desktop
DELL4X_SUP_INK,4XY37B,SUP,Ink
HPCH_SUP_INK,CH565A,SUP,Ink
DELL5T_SUP_INK,5T7Y7QB,SUP,Ink
HP8F_PC_Laptop,8F4Z5PA,PC,Laptop
HP5H_PH_LJ,5HH48A,PH,Laserjet
DELLDG_SUP_TON,DG513B,SUP,Toner
DELL99_PC_Desktop,990H0QB,PC,Desktop
HPZ7_SUP_TON,Z7Y83A,SUP,Toner
DELL05_PC_Laptop,054T2QB,PC,Laptop
DELLQ3_SUP_INK,Q3W38B,SUP,Ink
HP81_PC_Desktop,81T80PA,PC,Desktop
DELLD3_SUP_INK,D3Q17BB,SUP,Ink
DELL9Z_PC_Desktop,9Z0E5QB,PC,Desktop
HPZ7_SUP_TON,Z7Y76A,SUP,Toner
HP3E_SUP_INK,3ED67A,SUP,Ink
HPCF_SUP_TON,CF289A,SUP,Toner
HPCF_SUP_TON,CF501A,SUP,Toner
HP87_PC_Laptop,87B57PA,PC,Laptop
DELL8L_PH_LJ,8LX75B,PH,Laserjet
HP7G_PC_Laptop,7G6H1PA,PC,Laptop
DELL93_PC_Laptop,932K5QB,PC,Laptop
DELLDF_SUP_TON,DF512B,SUP,Toner
HP8G_PC_Laptop,8G148PA,PC,Laptop
HP64_PC_Monitor,64X66AA,PC,Monitor
DELL8Z_PC_Laptop,8Z7V4QB,PC,Laptop
HPC2_SUP_INK,C2P07AA,SUP,Ink
DELLA8_SUP_TON,A8Z84B,SUP,Toner
HP6N_PC_Monitor,6N4E8AA,PC,Monitor
HP8U_PC_Laptop,8U1H3PA,PC,Laptop
DELL4X_SUP_INK,4XY12B,SUP,Ink
HP3W_SUP_INK,3WX01A,SUP,Ink
HP6X_PC_Desktop,6X9Q0PA,PC,Desktop
HP7Y_PC_Laptop,7Y6T9PA,PC,Laptop
DELL0Y_PC_Laptop,0Y6K4QB,PC,Laptop
DELLU7_SUP_INK,U7N24BB,SUP,Ink
DELLG7_SUP_INK,G7W38BB,SUP,Ink
HP9D_PC_Laptop,9D3N5PA,PC,Laptop
HPCF_SUP_TON,CF513A,SUP,Toner
DELL4F_SUP_INK,4FE89B,SUP,Ink
DELL3A_PH_LJ,3A744B,PH,Laserjet
DELL89_PC_Desktop,893N1QB,PC,Desktop
DELL0U_PC_Desktop,0U9M1QB,PC,Desktop
DELLA8_SUP_TON,A8Z81B,SUP,Toner
DELLX3_SUP_TON,X3153B,SUP,Toner
DELLU7_SUP_INK,U7N16BB,SUP,Ink
DELL4Z_SUP_INK,4ZN27BB,SUP,Ink
DELL6I_PH_IJ,6IC19B,PH,Inkjet
HP7M_PC_Laptop,7M659PA,PC,Laptop
HPCD_SUP_INK,CD972AA,SUP,Ink
HP46_PC_Laptop,46D70PA,PC,Laptop
DELLA8_SUP_TON,A8Z02B,SUP,Toner
DELL03_PC_Desktop,03A32QB,PC,Desktop
DELLQ3_SUP_INK,Q3W81B,SUP,Ink
HPC2_SUP_INK,C2P19AA,SUP,Ink
DELLDD_SUP_TON,DD499BE,SUP,Toner
HP9U_PC_Laptop,9U2C4PA,PC,Laptop
HP7P_PH_LJ,7PS84A,PH,Laserjet
HP7M_PC_Laptop,7M656PA,PC,Laptop
DELLD0_SUP_INK,D0495B,SUP,Ink
DELL4X_SUP_INK,4XY31B,SUP,Ink
HP7L_PC_Laptop,7L035PA,PC,Laptop
HP7K_PC_Desktop,7K2P3PA,PC,Desktop
DELLG0_SUP_INK,G0K88B,SUP,Ink
HPC9_SUP_INK,C9351AA,SUP,Ink
DELL0E_PC_Laptop,0E4Q1QB,PC,Laptop
DELLU9_PH_IJ,U9X27B,PH,Inkjet
DELL9M_PC_Laptop,9M233QB,PC,Laptop
HPCF_SUP_TON,CF502A,SUP,Toner
HP8L_PC_Laptop,8L149PA,PC,Laptop
DELL64_PH_IJ,648Q6D,PH,Inkjet
HP6U_PH_IJ,6UU48A,PH,Inkjet
HP7K_PC_Desktop,7K3Z3PA,PC,Desktop
DELL0V_PC_Laptop,0V3D5QB,PC,Laptop
DELLU7_SUP_INK,U7N28BB,SUP,Ink
DELLDG_SUP_TON,DG320B,SUP,Toner
DELLA8_SUP_TON,A8Z87B,SUP,Toner
HP2E_PC_Monitor,2E2Y3A6,PC,Monitor
HP44_PC_Desktop,44V84PA,PC,Desktop
DELLM4_PH_IJ,M4V54B,PH,Inkjet
DELLQ3_SUP_INK,Q3W73B,SUP,Ink
DELLDD_SUP_INK,DD751AA,SUP,Ink
DELLD0_SUP_INK,D0517B,SUP,Ink
HP84_PC_Laptop,840G6PA,PC,Laptop
HPL0_SUP_INK,L0S66AA,SUP,Ink
DELLDG_SUP_TON,DG368B,SUP,Toner
HP9X_PC_Laptop,9X5J3PA,PC,Laptop
HPW1_SUP_TON,W1660A,SUP,Toner
DELL2C_PC_Monitor,2C0Y3BB,PC,Monitor
HP8F_PC_Laptop,8F6D5PA,PC,Laptop
HPCD_SUP_INK,CD975AA,SUP,Ink
HPA1_PC_Laptop,A1QV2PA,PC,Laptop
DELLX3_SUP_TON,X3221B,SUP,Toner
DELL49_PH_LJ,492V1B,PH,Laserjet
HP3Y_SUP_INK,3YM16AA,SUP,Ink
HPW2_SUP_TON,W2090A,SUP,Toner
DELL8X_PH_IJ,8XO55E,PH,Inkjet
HPW1_SUP_TON,W1103AD,SUP,Toner
DELLA8_SUP_TON,A8Z70B,SUP,Toner
HPCF_SUP_TON,CF511A,SUP,Toner
DELLA0_SUP_TON,A0N16B,SUP,Toner
HPCF_SUP_TON,CF350A,SUP,Toner
HP7Q_PC_Laptop,7Q6Y9PA,PC,Laptop
HP9T_PC_Laptop,9T8K8PA,PC,Laptop
HPCZ_SUP_INK,CZ132A,SUP,Ink
HPW2_SUP_TON,W2312A,SUP,Toner
HPCZ_SUP_INK,CZ122AA,SUP,Ink
DELL50_SUP_INK,509O7B,SUP,Ink
DELL4K_SUP_INK,4KB91BB,SUP,Ink
HPCE_SUP_TON,CE742A,SUP,Toner
DELLA8_SUP_TON,A8Z79B,SUP,Toner
HPF6_SUP_INK,F6V27AA,SUP,Ink
HP4R_PH_LJ,4RA89A,PH,Laserjet
DELLDO_SUP_INK,DO166BB,SUP,Ink
HPF9_SUP_INK,F9K17A,SUP,Ink
HPCF_SUP_TON,CF360A,SUP,Toner
HP68_PC_Laptop,689U2PA,PC,Laptop
DELLDF_SUP_TON,DF511B,SUP,Toner
HP67_SUP_INK,676M7A,SUP,Ink
DELL6T_PH_IJ,6TF37C,PH,Inkjet
HPCE_SUP_TON,CE410A,SUP,Toner
HPW1_SUP_TON,W1370A,SUP,Toner
HP8F_PC_Laptop,8F8Z1PA,PC,Laptop
DELL94_PC_Laptop,945V6QB,PC,Laptop
HPA0_PC_Desktop,A05H9PA,PC,Desktop
HP9E_PC_Laptop,9E3J4PA,PC,Laptop
HP3X_PH_IJ,3XB78A,PH,Inkjet
DELL7L_PC_Laptop,7L8V3QB,PC,Laptop
DELL9D_PC_Laptop,9D5S8QB,PC,Laptop
HP79_PC_Desktop,79U84PA,PC,Desktop
HP3J_SUP_INK,3JA80AA,SUP,Ink
HPCZ_SUP_INK,CZ108AA,SUP,Ink
HPC9_SUP_INK,C9383A,SUP,Ink
DELL8L_PC_Desktop,8L2H4QB,PC,Desktop
DELLX3_SUP_TON,X3423B,SUP,Toner
DELLA8_SUP_TON,A8Z99B,SUP,Toner
HP3W_SUP_INK,3WX42A,SUP,Ink
HP3J_SUP_INK,3JA81AA,SUP,Ink
DELLB1_PC_Laptop,B14DKQB,PC,Laptop
DELL4X_SUP_INK,4XY17B,SUP,Ink
DELL24_PC_Monitor,24M93BB,PC,Monitor
DELL8Z_PC_Laptop,8Z7V9QB,PC,Laptop
DELL7L_PC_Laptop,7L0D7QB,PC,Laptop
HP72_PC_Laptop,72K10PA,PC,Laptop
HP9D_PC_Laptop,9D3P0PA,PC,Laptop
DELL79_PC_Laptop,790V3QB,PC,Laptop
HPCF_SUP_TON,CF361A,SUP,Toner
DELL9M_PC_Laptop,9M277QB,PC,Laptop
DELLDO_SUP_INK,DO739BB,SUP,Ink
HP98_PC_Desktop,983N6PA,PC,Desktop
DELLM1_SUP_INK,M1T83BB,SUP,Ink
HP18_PC_Monitor,189T0AA,PC,Monitor
HPCF_SUP_TON,CF280A,SUP,Toner
DELLR3_SUP_TON,R3723B,SUP,Toner
DELLA9_SUP_TON,A9X63B,SUP,Toner
HP80_PC_Laptop,805X2PA,PC,Laptop
HPCZ_PH_LJ,CZ174A,PH,Laserjet
HPW2_SUP_TON,W2112A,SUP,Toner
DELL0E_PC_Laptop,0E4O8QB,PC,Laptop
HP7W_PH_IJ,7WN46D,PH,Inkjet
DELL0E_PC_Laptop,0E4O4QB,PC,Laptop
DELL9G_PC_Laptop,9G7L3QB,PC,Laptop
DELL4Z_SUP_INK,4ZN20BB,SUP,Ink
HP9E_PC_Laptop,9E3K8PA,PC,Laptop
DELLDC_SUP_TON,DC651B,SUP,Toner
HPW2_SUP_TON,W2301A,SUP,Toner
DELLG0_SUP_INK,G0L14B,SUP,Ink
HPA0_PC_Laptop,A00PMPA,PC,Laptop
DELL4X_SUP_INK,4XY53B,SUP,Ink
DELLDG_SUP_TON,DG322B,SUP,Toner
HPW1_SUP_TON,W1120A,SUP,Toner
HPZ7_SUP_TON,Z7Y79A,SUP,Toner
DELL5L_SUP_INK,5L1W9QB,SUP,Ink
DELL9M_PC_Desktop,9M218QB,PC,Desktop
HP3W_SUP_INK,3WX30A,SUP,Ink
DELLDA_SUP_INK,DA243B,SUP,Ink
HP9W_PC_Laptop,9W638PA,PC,Laptop
HP3J_SUP_INK,3JA83AA,SUP,Ink
HP3E_SUP_INK,3ED77A,SUP,Ink
DELLU7_SUP_INK,U7M08BB,SUP,Ink
HPCF_SUP_TON,CF228A,SUP,Toner
HPCE_SUP_TON,CE401A,SUP,Toner
HPL0_SUP_INK,L0S23AA,SUP,Ink
DELL4K_SUP_INK,4KC17BB,SUP,Ink
HP7K_PC_Desktop,7K661PA,PC,Desktop
DELL50_SUP_INK,509O8B,SUP,Ink
HP35_PC_Monitor,356D6AA,PC,Monitor
HPF9_SUP_INK,F9K06A,SUP,Ink
DELL5L_SUP_INK,5L1W7QB,SUP,Ink
HP7J_PC_Desktop,7J9W4PA,PC,Desktop
DELLG0_SUP_INK,G0K76B,SUP,Ink
HPW1_SUP_TON,W1112A,SUP,Toner
HP8A_PH_LJ,8AF52A,PH,Laserjet
HP8L_PC_Desktop,8L129PA,PC,Desktop
DELLDG_SUP_TON,DG469B,SUP,Toner
DELLD3_SUP_INK,D3Q15BB,SUP,Ink
DELL4X_SUP_INK,4XY32B,SUP,Ink
HPCF_SUP_TON,CF363A,SUP,Toner
HPCN_SUP_INK,CN630A,SUP,Ink
HP5H_PH_IJ,5HB06A,PH,Inkjet
DELL62_SUP_INK,62756BB,SUP,Ink
DELL8M_PC_Laptop,8M488QB,PC,Laptop
DELLDI_SUP_INK,DI756B,SUP,Ink
DELL0U_PC_Laptop,0U9L7QB,PC,Laptop
DELL8R_PC_Laptop,8R7A9QB,PC,Laptop
HPCH_SUP_INK,CH646A,SUP,Ink
DELLN1_SUP_INK,N1I65BB,SUP,Ink
DELL4F_SUP_INK,4FE50B,SUP,Ink
HP97_PC_Desktop,977P0PA,PC,Desktop
HPM0_SUP_INK,M0H56AA,SUP,Ink
DELL94_PC_Laptop,945U0QB,PC,Laptop
DELLDG_SUP_TON,DG452B,SUP,Toner
HP9U_PC_Laptop,9U867PA,PC,Laptop
HP6N_PC_Monitor,6N4E2AA,PC,Monitor
HP7J_PC_Desktop,7J1S5PA,PC,Desktop
HP3J_SUP_INK,3JB06AA,SUP,Ink
DELL4F_PC_Desktop,4F8S0QB,PC,Desktop
HP7N_PC_Laptop,7N759PA,PC,Laptop
DELLDG_SUP_TON,DG473B,SUP,Toner
HPCF_SUP_TON,CF353A,SUP,Toner
DELLM1_SUP_INK,M1T62BB,SUP,Ink
HP3Y_SUP_INK,3YM21AA,SUP,Ink
HP82_PC_Laptop,824L6PA,PC,Laptop
DELL49_PH_LJ,492W7B,PH,Laserjet
DELL4K_SUP_INK,4KB96BB,SUP,Ink
HP7S_PC_Laptop,7S4P3PA,PC,Laptop
DELL83_PC_Laptop,83L21QB,PC,Laptop
DELL5L_PC_Laptop,5L6E6QB,PC,Laptop
HPX4_SUP_INK,X4E79AA,SUP,Ink
